# Rokok ekstra — nama, harga rekomendasi (Rp, slope naik tiap tahun)
Sampoerna Mild 16,33000
Sampoerna Mild 12,30000
Sampoerna U Mild 12,29000
Sampoerna Hijau Generasi 12,31000
Sampoerna Premium 12,32000
Dji Sam Soe 12,32000
Dji Sam Soe 10,28000
Marlboro Red 20,39000
Marlboro Red 12,26000
Marlboro Mild 20,38000
Marlboro Mild 12,26000
Marlboro Black 20,39000
Gudang Garam Merah 12,28000
Gudang Garam Biru 12,28000
Gudang Garam Surya 12,29000
Gudang Garam Surya 16,32000
Gudang Garam Surya Pro 16,34000
Gudang Garam Shinten 8,22000
Gudang Garam International 12,30000
Gudang Garam Muli 10,24000
Djarum Coklat 12,31000
Djarum Coklat 10,27000
Djarum Super 12,33000
Djarum Vanilo 12,30000
Djarum Cherry 12,30000
Class Mild 12,29000
Class Mild 16,32000
X Mild 12,29000
X Mild 16,32000
Magnum White 16,33000
Magnum Black 16,33000
Dunhill Fine Cut 16,36000
LA Bold Mild 12,28000
Camel Mild 20,35000
Lucky Strike 20,34000
GG Filter International 16,32000
Surya Pro Mild 16,34000

Rokok Kretek Tangan 12 (slop ecer),15000
Rokok Klemben 12,14000
